"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"гувернер";"0.000942";"0.0008837587166764419";"0.0010040756310191277";"3.7230987402118094";"3.4929097289907287";"3.9684423746546624";"1450.0384980000001";"1360.386583995664";"1545.5926962647327"
"вебер";"0.000935";"0.0008769822405717123";"0.000996852160906051";"3.695432401377964";"3.466126831274599";"3.9398928072683";"1439.263265";"1349.9554255746077";"1534.4734714737415"
"патер";"0.000935";"0.0008769822405717123";"0.000996852160906051";"3.695432401377964";"3.466126831274599";"3.9398928072683";"1439.263265";"1349.9554255746077";"1534.4734714737415"
"тренажер";"0.00093";"0.000872142414046136";"0.0009916920258474797";"3.6756707307823597";"3.446998219766938";"3.9194982294170377";"1431.5666700000002";"1342.5053886470841";"1526.5303775355167"
"бисер";"0.000926";"0.0008682708636016631";"0.0009875636070246344";"3.6598613943058766";"3.4316965588513506";"3.9031813388454855";"1425.409394";"1336.5458374884486";"1520.1754240015532"
"бульдозер";"0.000912";"0.0008547226396508614";"0.0009731119385398229";"3.604528716638185";"3.378149451077107";"3.8460635164147416";"1403.858928";"1315.6907989447245";"1497.929696121182"
"лазер";"0.000905";"0.0008479498301116007";"0.000965884801861277";"3.5768623778043396";"3.35138104485278";"3.8174994575365755";"1393.083695";"1305.2652845375592";"1486.804827316299"
"снайпер";"0.0009";"0.0008431126482370237";"0.0009607220221517064";"3.5571007072087353";"3.332262885889497";"3.7970944271409346";"1385.3871000000001";"1297.8193185715672";"1478.8576624165426"
"гренадер";"0.000881";"0.0008247355264355145";"0.0009410992899334549";"3.4820063589454398";"3.259630360382152";"3.7195388330843677";"1356.1400390000001";"1269.5310658171898";"1448.6520178810758"
"ликер";"0.000872";"0.0008160329211839027";"0.000931801964333601";"3.4464353518733524";"3.225234756720967";"3.6827926958994905";"1342.286168";"1256.134980203884";"1434.3404679360347"
"унтер";"0.000872";"0.0008160329211839027";"0.000931801964333601";"3.4464353518733524";"3.225234756720967";"3.6827926958994905";"1342.286168";"1256.134980203884";"1434.3404679360347"
"фигнер";"0.000854";"0.0007986323574679205";"0.0009132026663466519";"3.3752933377291776";"3.156461915054355";"3.609282055873976";"1314.578426";"1229.349961865162";"1405.7102151580618"
"бункер";"0.000847";"0.0007918671779990767";"0.0009059678995976891";"3.347626998895332";"3.129723665417668";"3.58068784040817";"1303.8031930000002";"1218.9361925703606";"1394.5736012408154"
"кондиционер";"0.000846";"0.0007909008029872533";"0.000904934282292683";"3.343674664776211";"3.125904228486573";"3.57660263946748";"1302.263874";"1217.4486331535359";"1392.9825344844905"
"шумахер";"0.000845";"0.0007899344478799788";"0.0009039006450831279";"3.3397223306570902";"3.1220848702249056";"3.5725173598573625";"1300.724555";"1215.9611043761613";"1391.3914370887153"
"камергер";"0.000827";"0.0007725435003516813";"0.0008852917309084943";"3.2685803165129155";"3.053350034944975";"3.498968713445167";"1273.0168130000002";"1189.19088841785";"1362.7463819303325"
"антрепренер";"0.000813";"0.0007590218100924716";"0.0008708135287320906";"3.2132476388452242";"2.999907797185317";"3.4417460209998376";"1251.466347";"1168.3766936897334";"1340.4598102343532"
"сервер";"0.000792";"0.0007387470731904946";"0.0008490884269806479";"3.130248622343687";"2.919775262771435";"3.3558811601062395";"1219.140648";"1137.167405956519";"1307.0179483314241"
"клевер";"0.00076";"0.0007078710033445314";"0.0008159647426880666";"3.0037739305318207";"2.7977427184548773";"3.224965292525684";"1169.88244";"1089.6392849973008";"1256.030031749852"
"кюхельбекер";"0.000757";"0.0007049775759318973";"0.000812858193150212";"2.9919169281744584";"2.7863069265707248";"3.212687170794483";"1165.2644830000002";"1085.1853772059123";"1251.2480610217913"
"спенсер";"0.000751";"0.000699191357092004";"0.0008066444580891283";"2.968202923459734";"2.763437856429115";"3.1881284137053836";"1156.028569";"1076.2785406075068";"1241.683140581299"
"капельмейстер";"0.000744";"0.0006924418516303643";"0.0007993940173329614";"2.940536584625888";"2.7367615557058835";"3.1594722493261216";"1145.253336";"1065.888898609801";"1230.522399366957"
"обер";"0.000737";"0.0006856935283622574";"0.0007921423943832617";"2.912870245792042";"2.710089927406488";"3.1308114125230233";"1134.4781030000001";"1055.5010763850619";"1219.3598383796482"
"петер";"0.000735";"0.0006837656554853603";"0.0007900702826264997";"2.9049655775538006";"2.7024703296577997";"3.1226217345281424";"1131.399465";"1052.5334650360694";"1216.170197382341"
"вернер";"0.000733";"0.000681837880885887";"0.0007879980725923139";"2.897060909315559";"2.694851120334327";"3.114431668108045";"1128.320827";"1049.5660049673827";"1212.9804051047283"
"лайнер";"0.000729";"0.0006779826281286729";"0.0007838533560822101";"2.8812515728390755";"2.679613873324155";"3.098050363631078";"1122.163551";"1043.6315411484006";"1206.6003642311116"
"полицеймейстер";"0.000718";"0.0006673827449822915";"0.0007724533237434668";"2.8377758975287466";"2.637719593506018";"3.0529936268595828";"1105.2310420000001";"1027.314939623396";"1189.0520778514697"
"бруствер";"0.000717";"0.0006664192708620653";"0.0007714168055468634";"2.833823563409626";"2.633911621867758";"3.048896960626057";"1103.6917230000001";"1025.8318456041236";"1187.4565456975924"
"старовер";"0.000716";"0.0006654558222401983";"0.0007703802618519009";"2.829871229290505";"2.630103751007533";"3.0448001936144973";"1102.1524040000002";"1024.3487908349598";"1185.8609742936064"
"миллиардер";"0.000699";"0.0006490811493239935";"0.0007527550653820039";"2.762681549265451";"2.5653855725513734";"2.9751395282503155";"1075.983981";"999.1429456962604";"1158.730174488761"
"опер";"0.000696";"0.0006461922879688154";"0.0007496439497866936";"2.7508245469080888";"2.5539678272518938";"2.9628433599344417";"1071.3660240000002";"994.696066523869";"1153.9411751417033"
"сеттер";"0.000696";"0.0006461922879688154";"0.0007496439497866936";"2.7508245469080888";"2.5539678272518938";"2.9628433599344417";"1071.3660240000002";"994.696066523869";"1153.9411751417033"
"гроссмейстер";"0.000695";"0.0006452293874246905";"0.0007486068580139889";"2.746872212788968";"2.5501621225780284";"2.958744426736522";"1069.8267050000002";"993.2138554211872";"1152.3447600712354"
"маузер";"0.000687";"0.0006375271497170441";"0.0007403091571869992";"2.715253539836002";"2.519720305692519";"2.925949140647753";"1057.5121530000001";"981.3576545752908";"1139.5719515319345"
"волонтер";"0.000686";"0.0006365644917099276";"0.0007392718228772862";"2.7113012057168806";"2.5159155596059475";"2.9218492488625394";"1055.9728340000001";"979.8758168144341";"1137.9751631196414"
"спикер";"0.000684";"0.0006346392574824214";"0.0007371970724711332";"2.703396537478639";"2.5083063906812764";"2.9136491420436417";"1052.894196";"976.9122671885837";"1134.7814603991924"
"мейер";"0.000681";"0.0006317516115045287";"0.0007340847414985376";"2.6915395351212767";"2.496893448958908";"2.9013481701506554";"1048.276239";"972.4672588695397";"1129.9905901987875"
"тендер";"0.000669";"0.0006202035229443236";"0.0007216329222567883";"2.644111525691827";"2.4512515445317806";"2.8521344201163648";"1029.804411";"954.6910667351333";"1110.8232682553971"
"кластер";"0.000666";"0.000617317132998375";"0.0007185193352522485";"2.6322545233344643";"2.439843567067321";"2.8398284839654706";"1025.1864540000001";"950.2479918499258";"1106.030464621156"
"кинорежиссер";"0.000664";"0.0006153930153085724";"0.000716443468308392";"2.6243498550962228";"2.4322388110727102";"2.831623964216512";"1022.1078160000001";"947.2861609317765";"1102.835043193006"
"маркер";"0.000656";"0.0006076976939306345";"0.0007081388511516939";"2.592731182143256";"2.4018243298330866";"2.7988013424818576";"1009.793264";"935.4406065236104";"1090.0515882159743"
"супер";"0.000652";"0.000603850730216565";"0.0007039858455984452";"2.576921845666773";"2.3866198438909496";"2.7823872769368543";"1003.6359880000001";"929.5189021862327";"1083.6587878607531"
"мушкетер";"0.000649";"0.0006009658158570467";"0.0007008707830074751";"2.5650648433094108";"2.375217698437084";"2.770075508775367";"999.0180310000001";"925.0780986992532";"1078.8637128282837"
"буфер";"0.000643";"0.0005951967881904804";"0.0006946398567730641";"2.5413508385946857";"2.3524165735563622";"2.745448806425379";"989.7821170000001";"916.1977248005823";"1069.2723296880563"
"вахтер";"0.000636";"0.0005884676226596048";"0.0006873690760861331";"2.51368449976084";"2.3258206630354703";"2.7167122518437767";"979.006884";"905.8393924447603";"1058.0802788318304"
"шулер";"0.000635";"0.0005875064347673666";"0.0006863302716615418";"2.509732165641719";"2.322021727334092";"2.712606549673371";"977.467565";"904.3598176596681";"1056.4812274437727"
"купер";"0.000617";"0.0005702103533237107";"0.0006676264914022666";"2.4385901514975443";"2.253661834517238";"2.638682960798099";"949.7598230000001";"877.7356308679011";"1027.6901431188455"
"монтер";"0.000615";"0.000568289196922492";"0.0006655476631698262";"2.430685483259303";"2.2460687825245342";"2.630466737047233";"946.681185";"874.7783583175335";"1024.4901633229138"
"землемер";"0.000609";"0.0005625265002131586";"0.0006593104059781826";"2.4069714785445777";"2.2232926797020904";"2.6058150126389688";"937.445271";"865.9077297816191";"1014.88903481993"
"легионер";"0.000609";"0.0005625265002131586";"0.0006593104059781826";"2.4069714785445777";"2.2232926797020904";"2.6058150126389688";"937.445271";"865.9077297816191";"1014.88903481993"
"эйлер";"0.000609";"0.0005625265002131586";"0.0006593104059781826";"2.4069714785445777";"2.2232926797020904";"2.6058150126389688";"937.445271";"865.9077297816191";"1014.88903481993"
"грубер";"0.000609";"0.0005625265002131586";"0.0006593104059781826";"2.4069714785445777";"2.2232926797020904";"2.6058150126389688";"937.445271";"865.9077297816191";"1014.88903481993"
"фарватер";"0.000589";"0.0005433260752930083";"0.0006385109845617425";"2.3279247961621614";"2.147406185188563";"2.5236087497168";"906.658891";"836.3521508939583";"982.872090244597"
"танкер";"0.000583";"0.000537568586460092";"0.0006322685194936818";"2.304210791447437";"2.1246506656337703";"2.498936442040884";"897.4229770000001";"827.4895389411624";"973.2629451584947"
"киллер";"0.000578";"0.0005327716340335787";"0.0006270655103360475";"2.2844491208518325";"2.1056915068906625";"2.478372411425068";"889.7263820000001";"820.1054989289344";"965.2538543049744"
"хер";"0.000576";"0.0005308530988610691";"0.000624984060874898";"2.276544452613591";"2.0981088148696196";"2.470145827702541";"886.6477440000001";"817.1522612857221";"962.0498396018871"
"почтмейстер";"0.000575";"0.0005298938843104716";"0.000623943283108666";"2.27259211849447";"2.0943176784737356";"2.46603232622664";"885.108425";"815.6757241029109";"960.4477506115487"
"экспортер";"0.000571";"0.0005260573818339621";"0.0006197798163178573";"2.2567827820179867";"2.079154538837736";"2.4495769143755006";"878.9511490000001";"809.7701229472729";"954.0388470745878"
"талер";"0.000563";"0.0005183861038912366";"0.0006114511557259467";"2.22516410906502";"2.048835085287443";"2.416659264951515";"866.636597";"797.9615790557543";"941.2183815809086"
